CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical
China,90435,9,4636,,85506,11,293,4
USA,32070784,77720,577179,819,24626410,65554,6867195,9505
India,13871321,185248,172115,1026,12332688,82248,1366518,8944
Brazil,13601566,80157,358718,3687,12074798,117730,1168050,8318
France,5106329,39113,99480,345,313051,2117,4693798,5952
Russia,4657883,8173,103601,338,4281776,9611,272506,2300
UK,4375814,2472,127123,23,3992416,10604,256275,377
Turkey,3962760,59187,34455,273,3424733,52104,503572,2951
Italy,3793033,13447,115088,476,3158725,18160,519220,3526
Spain,3376548,6292,76625,100,3114053,3027,185870,2152
Germany,3031836,10772,79408,298,2700200,16300,252228,4662
Poland,2599833,13210,59127,645,2219655,21873,321051,3513
Argentina,2579000,27001,58174,217,2262875,15751,257951,3836
Colombia,2569314,16377,66482,326,2408624,12891,94208,4299
Mexico,2281840,1627,209702,364,1812694,2773,259444,4798
Iran,2118212,24760,65055,291,1729293,9209,323864,4481
Ukraine,1872785,11680,37758,457,1430234,14019,404793,177
Peru,1659707,6387,55489,259,1584425,9183,19793,2599
Czechia,1585091,3870,28086,74,1480624,314,76381,1144
Indonesia,1577526,5702,42782,126,1426145,6349,108599,
South Africa,1559960,847,53423,67,1485315,959,21222,546
Netherlands,1364025,6685,16820,29,,,,782
Chile,1088710,5790,24518,35,1020925,8021,43267,3203
Canada,1078562,7546,23392,36,976877,4352,78293,928
Romania,1012373,3883,25441,193,915464,5166,71468,1530
Iraq,941078,8179,14796,39,826323,5791,99959,477
Belgium,927229,1753,23503,30,59873,119,843853,899
Sweden,885385,8873,13684,,,,,391
Philippines,884758,8546,15285,136,703885,322,165588,750
Israel,836334,176,6309,5,826768,274,3257,231
Portugal,828173,408,16923,5,785809,746,25441,118
Pakistan,729920,4318,15619,118,638267,3432,76034,4198
Hungary,728078,2837,23980,272,431124,2050,272974,1209
Bangladesh,697985,6028,9891,69,585966,4853,102128,
Jordan,672090,2790,7937,82,610614,6570,53539,729
Serbia,648745,3572,5808,35,566122,5188,76815,247
Switzerland,625367,2241,10472,6,561861,1567,53034,214
Austria,581263,2313,9748,42,541786,3177,29729,599
Japan,508802,2516,9425,25,468770,2854,30607,596
Morocco,502961,684,8915,6,489288,656,4758,246
Lebanon,499839,1985,6738,35,411710,5615,81391,844
UAE,487697,2022,1537,4,471906,1731,14254,
Saudi Arabia,400228,951,6773,8,384635,608,8820,962
Bulgaria,378059,2944,14746,127,293351,3995,69962,799
Slovakia,372038,870,10716,86,255300,,106022,506
Malaysia,363940,1767,1345,12,346295,1290,16300,199
Panama,359121,329,6173,6,348953,399,3995,105
Ecuador,347589,519,17351,53,298604,8290,31634,600
Belarus,337635,754,2373,10,327848,761,7414,
Greece,301103,4017,9054,93,254804,,37245,802
Croatia,294874,1936,6358,25,276420,1659,12096,192
Georgia,290129,1374,3894,11,278251,422,7984,
Azerbaijan,289601,2457,3978,34,253762,2002,31861,
Bolivia,283084,989,12469,18,232422,876,38193,71
Nepal,280984,460,3058,5,274318,153,3608,
Tunisia,274604,1664,9396,64,228267,2197,36941,436
Kazakhstan,273825,2016,3260,24,235862,1197,34703,221
Palestine,272767,1911,2901,18,237046,2348,32820,182
Dominican Republic,258637,598,3397,5,217008,228,38232,148
Kuwait,250273,1544,1419,7,233757,1201,15097,235
Moldova,242364,544,5438,29,225036,1214,11890,293
Ireland,241684,354,4803,18,23364,,213517,46
Paraguay,240141,2599,4978,89,196718,1731,38445,485
Denmark,238869,563,2446,3,228007,763,8416,39
Ethiopia,232512,1568,3230,22,173818,1838,55464,967
Lithuania,227976,1175,3714,13,207391,1426,16871,150
Slovenia,227843,1056,4130,4,209919,1077,13794,146
Costa Rica,225343,2799,3044,26,196060,1300,26239,221
Egypt,212130,823,12526,39,160431,432,39173,90
Guatemala,205322,2013,7057,37,187052,925,11213,5
Armenia,204053,726,3775,22,183660,824,16618,
Honduras,196086,306,4861,57,75952,156,115273,536
Qatar,191979,981,340,5,170787,593,20852,479
Bosnia and Herzegovina,185664,966,7566,79,142654,1052,35444,
Venezuela,176972,1160,1815,20,159547,1148,15610,237
Oman,174364,1335,1798,9,154771,785,17795,250
Libya,169504,828,2830,2,154220,576,12454,
Nigeria,163911,74,2061,,154225,48,7625,11
Bahrain,158789,1060,566,4,147162,1209,11061,84
Uruguay,149430,2257,1595,62,116533,3408,31302,486
Kenya,147147,991,2394,26,99580,370,45173,239
North Macedonia,143162,1128,4289,27,118946,1152,19927,124
Myanmar,142596,,3206,,131869,,7521,
Albania,128752,234,2326,5,98903,634,27523,18
Algeria,118799,154,3137,3,82813,109,32849,19
Estonia,115080,638,1049,12,96844,1598,17187,72
S. Korea,110688,542,1775,5,101332,528,7581,101
Latvia,108355,537,2002,12,99840,200,6513,94
Norway,105008,1009,688,1,88952,,15368,57
Sri Lanka,95620,226,602,4,91926,151,3092,
Montenegro,94643,224,1391,10,89235,401,4017,69
Ghana,91410,75,761,7,89219,127,1430,10
Kyrgyzstan,90599,227,1532,4,86152,124,2915,25
Zambia,90218,154,1229,2,88144,67,845,56
Cuba,88445,1060,476,9,83087,1187,4882,61
Uzbekistan,85291,177,634,,83089,146,1568,23
Finland,82564,286,877,3,46000,,35687,38
Mozambique,68871,79,794,3,59901,500,8176,68
El Salvador,66657,168,2054,,63072,114,1531,60
Luxembourg,64062,182,777,5,60012,24,3273,30
Cameroon,61731,,919,,56926,,3886,385
Singapore,60692,14,30,,60374,17,288,1
Afghanistan,57492,128,2532,3,52013,8,2947,1124
Cyprus,52652,619,274,1,39061,,13317,63
Namibia,45949,162,586,11,43984,263,1379,32
Ivory Coast,45265,38,269,1,44771,88,225,
Botswana,43444,,663,,38923,,3858,1
Jamaica,42924,161,682,6,19136,119,23106,37
Uganda,41204,30,337,,40779,,88,24
Senegal,39495,30,1081,2,38241,26,173,14
Zimbabwe,37330,23,1543,1,34932,31,855,12
Thailand,34575,965,97,,28288,40,6190,1
Malawi,33872,13,1133,1,31572,,1167,19
Sudan,31700,1589,2194,131,25451,1237,4055,
Malta,29720,59,403,1,28756,50,561,
Australia,29437,18,910,1,26361,,2166,
Madagascar,28765,224,512,6,24410,305,3843,246
DRC,28665,54,745,,25841,2079,2079,313
Maldives,25759,58,67,,22981,185,2711,82
Angola,23697,148,554,,22115,22,1028,15
Rwanda,23603,68,316,,21395,123,1892,6
Guinea,21106,74,136,,18686,73,2284,24
Gabon,20971,,129,,17762,,3080,20
Syria,20435,104,1392,7,14230,108,4813,
Mayotte,19706,,167,,2964,,16575,8
Cabo Verde,19231,121,187,3,17487,88,1557,23
French Polynesia,18678,12,141,,4842,,13695,2
Réunion,18425,917,135,12,16794,783,1496,54
Eswatini,18402,9,669,,17682,,51,3
Mauritania,18052,17,451,1,17398,25,203,14
French Guiana,17806,100,95,1,9995,,7716,9
Mongolia,16603,885,27,2,9887,371,6689,88
Tajikistan,13308,,90,,13218,,0,
Burkina Faso,12989,,153,,12627,,209,
Haiti,12855,,251,,11513,,1091,
Guadeloupe,12717,577,176,2,2242,,10299,13
Andorra,12614,33,121,,11932,42,561,29
Somalia,12566,,618,,5270,,6678,
Belize,12513,10,318,,12137,3,58,1
Mali,12179,177,417,3,7194,28,4568,
Togo,12034,,116,,9303,,2615,
Hong Kong,11608,13,208,1,11227,13,173,7
Curaçao,11430,45,74,6,7189,344,4167,22
Guyana,11277,88,258,1,9796,45,1223,15
Lesotho,10709,,315,,5028,,5366,
South Sudan,10387,6,114,,10148,,125,
Aruba,10122,46,92,,9515,47,515,14
Congo,10084,,137,,8208,,1739,
Djibouti,10077,102,102,2,8394,210,1581,
Martinique,9890,862,64,7,98,,9728,24
Bahamas,9505,45,190,,8965,100,350,3
Suriname,9363,47,184,2,8711,11,468,9
Papua New Guinea,8814,212,69,,846,,7899,
Trinidad and Tobago,8511,70,146,,7799,24,566,14
Benin,7515,,93,,6452,,970,35
Equatorial Guinea,7219,,106,,6799,,314,11
Nicaragua,6778,51,180,1,4225,,2373,
Iceland,6274,7,29,,6152,12,93,
CAR,5682,74,75,,5112,,495,2
Gambia,5602,,168,,5145,,289,3
Yemen,5507,61,1073,5,2070,11,2364,23
Niger,5081,,189,,4760,,132,1
San Marino,4986,21,86,,4568,52,332,8
Cambodia,4696,181,33,3,2252,40,2411,
Chad,4652,11,167,4306,8,,179,277
Seychelles,4633,189,25,,4310,149,298,
Saint Lucia,4355,,64,,4179,,112,1
Gibraltar,4277,,94,,4181,,2,
Channel Islands,4053,2,86,,3956,,11,1
Sierra Leone,4009,1,79,,2832,1,1098,
Comoros,3796,7,146,,3582,5,68,4294
Barbados,3740,6,44,,3623,10,73,
Guinea-Bissau,3693,13,66,,3083,14,544,9
Eritrea,3469,3,10,,3231,35,228,
Burundi,3262,108,6,,773,,2483,
Liechtenstein,2768,14,56,,2634,9,78,5
Vietnam,2714,9,35,,2445,,234,28
New Zealand,2587,4,26,,2459,2,102,
Monaco,2378,1,31,,2260,13,87,6
Turks and Caicos,2360,3,17,,2285,2,58,2
Sao Tome and Principe,2268,1,35,,2192,4,41,
Sint Maarten,2188,3,27,,2124,6,37,1
Liberia,2042,,85,,1899,,58,2
Bermuda,1912,21,16,,1037,39,859,41
St. Vincent Grenadines,1806,,10,,1665,,131,2
Saint Martin,1693,,12,,1399,,282,7
Isle of Man,1575,,29,,1445,,101,
Caribbean Netherlands,1526,7,14,,1416,20,96,
Antigua and Barbuda,1201,3,31,1,947,9,223,45
Mauritius,1198,5,15,,797,,386,
Timor-Leste,1086,40,2,1,550,,534,
Taiwan,1062,4,11,,1027,1,24,45
Bhutan,927,6,1,,875,,51,
St. Barth,907,,1,,462,,444,
Diamond Princess,712,,13,,699,,0,
Faeroe Islands,661,,1,,660,,0,
Cayman Islands,523,7,2,,498,11,23,
Tanzania,509,,21,,183,,305,7
Wallis and Futuna,437,,5,,44,,388,3
Brunei,219,,3,,206,,10,
British Virgin Islands,178,,1,,159,,18,
Dominica,165,,,,159,,6,
Grenada,155,,1,,152,,2,
New Caledonia,121,,,,58,,63,
Fiji,68,,2,,64,,2,
